Diet,m1_Length,ln_m1_Length,MTS,ln_MTS,SQ
Seeds/Fruit,3.97,1.378766095,5.9,1.774952351,-14.23
Seeds/Fruit,3.64,1.291983682,5.58,1.719188776,-12.3
Fruit/Insects,2.52,0.924258902,4.03,1.393766376,-11.85
Seeds/Fruit,4.79,1.566530411,7.71,2.042518188,-5.33
Gum/Fruit,1.78,0.576613364,3.26,1.181727195,-2.53
Seeds/Fruit,4,1.386294361,6.78,1.913977102,-2.11
Fruit,3.18,1.156881197,5.55,1.713797928,-1.51
Gum/Fruit,2.22,0.797507196,4.08,1.406096988,0.01
Fruit,3.09,1.128171091,5.64,1.729884066,2.34
Fruit,5.26,1.660131027,9.31,2.231089091,5.09
Fruit/Insects,2.87,1.05431203,5.54,1.711994501,7.81
Fruit/Leaves,5.47,1.699278616,10.12,2.314513664,10.28
Fruit/Leaves,3.06,1.118414916,6.16,1.818076778,13.16
Fruit/Insects,2.6,0.955511445,5.48,1.701105101,16.54
