Diet,m2_Length,ln_m2_Length,MTS,ln_MTS,SQ
Fruit,3.43,1.232560261,5.22,1.652497402,-22.12
Fruit,3.41,1.226712291,5.24,1.656321498,-21.44
Fruit,3.76,1.324418957,6.3,1.840549633,-14.29
Fruit,3.72,1.313723668,6.31,1.842135677,-13.24
Fruit,2.32,0.841567186,4.06,1.401182974,-10.9
Fruit,6.78,1.913977102,11.92,2.478217662,-9.51
Fruit,1.76,0.565313809,3.18,1.156881197,-8.22
Gums,2.55,0.936093359,4.6,1.526056303,-8.1
Fruit,5.81,1.759580571,10.41,2.342766883,-7.89
Fruit,1.58,0.457424847,2.92,1.071583616,-6.3
Gums,2.36,0.858661619,4.39,1.479329227,-5.2
Fruit,3.34,1.205970807,6.28,1.83736998,-3.88
Fruit,4.78,1.564440547,9.03,2.200552367,-3.05
Fruit,2.8,1.029619417,5.44,1.693779061,-0.8
Leaves,7.04,1.95160817,13.56,2.607124283,-0.79
Leaves,6.66,1.896119485,13.11,2.573375298,1.3
Insects,2.88,1.057790294,5.78,1.754403683,2.39
Leaves,5.42,1.690095815,10.83,2.382320061,2.65
Fruit,5.63,1.728109442,11.27,2.422144328,2.88
Leaves,6.76,1.91102289,13.63,2.612273246,3.84
Leaves,4.92,1.593308531,10.16,2.318458442,5.95
Insects,1.94,0.662687973,4.14,1.420695788,8.45
Insects,2.15,0.765467842,4.72,1.5518088,11.83
Insects,3.56,1.269760545,7.79,2.05284086,11.88
Leaves,4.28,1.45395301,9.39,2.239645293,12.46
Leaves,3.84,1.345472367,8.61,2.152924318,14.73
Insects,2.17,0.774727168,5.34,1.675225653,25.17
Insects,2.27,0.819779831,5.7,1.740466175,27.97
Leaves,5.82,1.761300262,14.57,2.67896462,28.69
